image_path,ground_truth
Dataset/LLVIP/infrared/train/010001.jpg,6
Dataset/LLVIP/infrared/train/010002.jpg,4
Dataset/LLVIP/infrared/train/010003.jpg,5
Dataset/LLVIP/infrared/train/010004.jpg,7
Dataset/LLVIP/infrared/train/010005.jpg,3
Dataset/LLVIP/infrared/train/010006.jpg,5
Dataset/LLVIP/infrared/train/010007.jpg,4
Dataset/LLVIP/infrared/train/010008.jpg,4
Dataset/LLVIP/infrared/train/010009.jpg,7
Dataset/LLVIP/infrared/train/010010.jpg,7
Dataset/LLVIP/infrared/train/010011.jpg,4
Dataset/LLVIP/infrared/train/010012.jpg,3
Dataset/LLVIP/infrared/train/010013.jpg,3
Dataset/LLVIP/infrared/train/010014.jpg,3
Dataset/LLVIP/infrared/train/010015.jpg,1
Dataset/LLVIP/infrared/train/010016.jpg,3
Dataset/LLVIP/infrared/train/010017.jpg,5
Dataset/LLVIP/infrared/train/010018.jpg,9
Dataset/LLVIP/infrared/train/010019.jpg,5
Dataset/LLVIP/infrared/train/010020.jpg,7
Dataset/LLVIP/infrared/train/010021.jpg,3
Dataset/LLVIP/infrared/train/010022.jpg,1
Dataset/LLVIP/infrared/train/010023.jpg,4
Dataset/LLVIP/infrared/train/010024.jpg,4
Dataset/LLVIP/infrared/train/010025.jpg,5
Dataset/LLVIP/infrared/train/010026.jpg,1
Dataset/LLVIP/infrared/train/010027.jpg,4
Dataset/LLVIP/infrared/train/010028.jpg,3
Dataset/LLVIP/infrared/train/010029.jpg,2
Dataset/LLVIP/infrared/train/010030.jpg,3
Dataset/LLVIP/infrared/train/010031.jpg,7
Dataset/LLVIP/infrared/train/010032.jpg,4
Dataset/LLVIP/infrared/train/010033.jpg,5
Dataset/LLVIP/infrared/train/010034.jpg,6
Dataset/LLVIP/infrared/train/010035.jpg,2
Dataset/LLVIP/infrared/train/010036.jpg,5
Dataset/LLVIP/infrared/train/010037.jpg,2
Dataset/LLVIP/infrared/train/010038.jpg,3
Dataset/LLVIP/infrared/train/010039.jpg,3
Dataset/LLVIP/infrared/train/010040.jpg,6
Dataset/LLVIP/infrared/train/010041.jpg,5
Dataset/LLVIP/infrared/train/010042.jpg,5
Dataset/LLVIP/infrared/train/010043.jpg,4
Dataset/LLVIP/infrared/train/010044.jpg,8
Dataset/LLVIP/infrared/train/010045.jpg,7
Dataset/LLVIP/infrared/train/010046.jpg,7
Dataset/LLVIP/infrared/train/010047.jpg,4
Dataset/LLVIP/infrared/train/010048.jpg,2
Dataset/LLVIP/infrared/train/010049.jpg,4
Dataset/LLVIP/infrared/train/010050.jpg,8
Dataset/LLVIP/infrared/train/010051.jpg,4
Dataset/LLVIP/infrared/train/010052.jpg,7
Dataset/LLVIP/infrared/train/010053.jpg,4
Dataset/LLVIP/infrared/train/010054.jpg,2
Dataset/LLVIP/infrared/train/010055.jpg,4
Dataset/LLVIP/infrared/train/010056.jpg,6
Dataset/LLVIP/infrared/train/010057.jpg,6
Dataset/LLVIP/infrared/train/010058.jpg,3
Dataset/LLVIP/infrared/train/010059.jpg,5
Dataset/LLVIP/infrared/train/010060.jpg,4
Dataset/LLVIP/infrared/train/010061.jpg,3
Dataset/LLVIP/infrared/train/010062.jpg,5
Dataset/LLVIP/infrared/train/010063.jpg,2
Dataset/LLVIP/infrared/train/010064.jpg,2
Dataset/LLVIP/infrared/train/010065.jpg,4
Dataset/LLVIP/infrared/train/010066.jpg,7
Dataset/LLVIP/infrared/train/010067.jpg,4
Dataset/LLVIP/infrared/train/010068.jpg,5
Dataset/LLVIP/infrared/train/010069.jpg,4
Dataset/LLVIP/infrared/train/010070.jpg,6
Dataset/LLVIP/infrared/train/010071.jpg,3
Dataset/LLVIP/infrared/train/010072.jpg,1
Dataset/LLVIP/infrared/train/010073.jpg,1
Dataset/LLVIP/infrared/train/010074.jpg,3
Dataset/LLVIP/infrared/train/010075.jpg,2
Dataset/LLVIP/infrared/train/010076.jpg,6
Dataset/LLVIP/infrared/train/010077.jpg,3
Dataset/LLVIP/infrared/train/010078.jpg,5
Dataset/LLVIP/infrared/train/010079.jpg,6
Dataset/LLVIP/infrared/train/010080.jpg,6
Dataset/LLVIP/infrared/train/010081.jpg,4
Dataset/LLVIP/infrared/train/010082.jpg,2
Dataset/LLVIP/infrared/train/010083.jpg,3
Dataset/LLVIP/infrared/train/010084.jpg,6
Dataset/LLVIP/infrared/train/010085.jpg,8
Dataset/LLVIP/infrared/train/010086.jpg,9
Dataset/LLVIP/infrared/train/010087.jpg,7
Dataset/LLVIP/infrared/train/010088.jpg,10
